,fire_size_class,latitude,longitude,discovery_month,disc_dow,Vegetation,remoteness,elevation,Temp,Wind,Humidity,Precipitation
40373,B,48.73916667,-114.3544444,Aug,0,15,0.434620158,1894,17.07267074,1.888224389,57.16324327,6.1
40374,C,31.74792,-94.40208,Nov,0,12,0.249122713,97,15.06217751,1.434201521,71.22489497,0
40375,B,36.9725,-94.818,Jan,2,0,0.249628697,256,0.787474389,1.436963979,53.68644068,0
40378,B,33.205234,-94.634715,Oct,4,16,0.250255739,139,19.02714344,2.507900142,64.09307591,228.7
40381,B,31.7732,-84.7598,Jul,0,12,0.160811766,147,25.342769,1.896935968,72.80293891,77.9
40382,F,35.61377,-76.44381,Jun,6,15,0.084696196,5,18.81093218,3.322346129,70.23212874,0
40384,B,32.5835,-94.18635,Jul,4,12,0.246508124,84,30.72456954,2.76884405,62.50270414,16.46666667
40385,B,36.60617,-79.21667,Apr,4,0,0.10837035,164,8.89817955,3.685809172,56.90132624,27.33333333
40387,B,30.47278001,-83.34944997,Jan,6,12,0.149156047,39,10.51940682,2.530138154,77.0577569,30.56666667
40388,B,34.67433,-80.19314,Jun,0,16,0.118137442,135,25.62407734,2.763619722,65.44626828,26.73333333
40389,B,41.5749,-74.4827,Apr,1,15,0.064732252,166,3.121643146,3.771442852,69.47196319,201.7
40390,C,36.74562999,-84.78825999,Nov,5,0,0.157837618,432,12.955086,1.823579806,63.73564201,0
40391,B,28.9029,-81.4384,Jun,5,12,0.133405616,16,27.14326169,3.13147001,69.13294749,27.56666667
40395,B,32.10676595,-101.3945856,Nov,0,12,0.314916544,829,15.31282018,3.758946565,58.28159213,4.5
40397,B,30.16,-81.96,Apr,6,12,0.137014749,16,17.34405398,3.291310907,68.16840221,29.63333333
40398,B,30.8818,-84.5733,Apr,0,12,0.159806101,50,19.56203329,3.699065642,60.56992503,0
40399,B,35.55,-79.4833,Apr,1,15,0.111335854,149,16.00174242,3.018421637,78.62190295,37.26666667
40400,B,34.7558,-85.1975,Sep,6,16,0.162708614,271,20.28564844,2.145652165,57.1690076,0
40401,B,33.6819,-87.3278,Jan,1,16,0.182668027,167,4.42303433,1.126978818,25.35680751,5.933333333
40402,B,41.53991,-112.57706,Jul,5,15,0.418811559,1735,24.64832923,3.322048437,44.80514492,15.93333333
40404,B,33.801223,-117.156331,Jul,5,16,0.468885716,436,22.48052021,2.316694915,56.59237546,0
40405,C,28.2056,-81.4307,May,2,12,0.133928911,25,25.71806118,3.796455879,61.49034317,0
40406,C,37.99916667,-119.9422222,Dec,4,0,0.494721692,1792,7.791683845,0.805749674,67.81242625,0
40407,B,32.6125,-82.8649,Sep,4,12,0.143235926,92,27.299041,2.647533069,72.04596561,178.0666667
40409,C,33.86617898,-90.04108476,Apr,0,16,0.207305397,97,11.68919913,3.753012612,62.22030952,18.33333333
40411,C,33.30993,-90.016665,Feb,0,16,0.207455753,98,6.884736533,3.022418247,66.8128581,32.2
40414,B,44.56365553,-89.67561296,Mar,0,15,0.198854229,346,-3.744207895,3.743777583,70.0749517,0
40416,B,30.70105999,-94.98239001,Aug,0,12,0.255330636,57,27.49543331,1.998306307,74.80407285,19.13333333
40417,B,34.5167,-79.4,Nov,0,16,0.111245867,25,14.9516486,3.145143707,57.06231982,3.133333333
40418,C,32.63104,-93.14013,Mar,1,12,0.236745621,88,8.929337367,2.818668002,63.08062542,31.6
40420,C,36.44032999,-92.615,Apr,2,0,0.229439026,265,11.50373795,2.680783228,59.78393179,10.16666667
40422,C,35.12421,-92.03546,Jul,4,15,0.224861927,94,28.10427952,2.137582538,70.44974878,886.0333333
40423,F,26.4281,-80.4539,Jul,2,12,0.126863443,6,26.31666667,25.7,75,0
40424,B,32.289527,-94.868317,Nov,4,12,0.253079968,111,18.78117762,2.72573097,70.70550638,51.83333333
40425,B,45.4428,-123.2686,Aug,6,9,0.525994395,300,18.10454183,2.433573988,70.82613361,10.23333333
40426,B,38.94194444,-123.0730556,Oct,3,0,0.526400149,224,16.01669643,0.634293603,60.31763732,0
40427,B,43.05989696,-76.20061602,Apr,4,9,0.079062672,133,0.621293708,3.32875926,73.27802268,14.23333333
40428,B,32.838491,-94.941788,Apr,4,12,0.253377325,125,19.91283357,2.090720028,70.24217484,0
40429,B,39.443611,-90.796667,Mar,3,0,0.211088892,145,-0.297324393,4.665020133,75.70054852,0
40432,B,32.60222244,-103.6333313,Aug,4,12,0.336070741,1093,28.46241879,4.599157521,41.3264981,0
40434,B,30.9613882,-97.8943831,Aug,3,12,0.282490964,312,31.23244197,3.323569362,52.13698637,8.2
40435,F,47.11303468,-95.9302284,Apr,6,15,0.256201744,383,6.214748677,5.094411376,75.42854425,0
40436,B,26.3104412,-98.549738,Oct,2,12,0.292622096,79,27.06061789,3.013804222,71.58446845,38.33333333
40440,C,30.70113666,-94.31008682,Mar,6,12,0.24905574,64,13.04775972,2.367179162,73.17551472,28.76666667
40441,B,37.7994,-94.565,May,4,0,0.246819939,253,17.44015231,3.39185735,69.09665345,45.13333333
40442,D,30.7425,-95.78583333,Sep,5,12,0.262818085,123,28.53765347,1.257333385,69.46510168,19.36666667
40443,B,35.52816,-94.23416,Jul,1,15,0.245019943,230,24.99103555,2.202686513,68.98360932,2.666666667
40445,B,43.2708,-101.9158,Jun,3,9,0.313991121,1025,23.11434684,4.949178962,52.59711654,30.76666667
40446,C,35.106253,-100.658766,Jul,0,15,0.305868581,805,28.83358318,5.633828602,34.3360989,0
40447,B,27.58728,-97.46198,Jun,1,12,0.281187531,9,27.53329009,6.354645915,78.24615968,20
40448,B,32.77914997,-81.24070002,Jan,2,12,0.128672325,47,5.765580737,1.361166194,48.85104547,0
40449,B,33.4442,-80.6675,Feb,2,16,0.123137405,48,10.96853436,2.740152061,63.54152679,14.1
40450,B,32.88380683,-92.53896437,Aug,2,12,0.230995168,56,27.99299615,2.286222997,71.1975682,10.93333333
40451,C,31.68,-89.7364,Sep,0,12,0.206045547,130,25.14732595,1.819707409,71.98511263,55.26666667
40453,B,42.56437266,-77.4716661,Apr,3,4,0.090310929,416,1.821677224,3.752122661,70.16154358,38.56666667
40454,B,41.96407439,-75.26240147,May,5,15,0.071321156,276,7.442850461,3.123525838,61.31172756,231.8333333
40455,B,34.069046,-81.553352,Jul,3,16,0.130570582,145,26.60517636,1.700400891,65.564225,0
40459,B,32.17799293,-82.07680518,Jan,4,12,0.136525299,68,3.970588237,0.874019608,19.99509804,0
40460,B,42.9832,-115.3509,Aug,1,4,0.446033531,903,28.01680555,4.156289683,27.62915204,0.2
40463,B,42.89079999,-97.31320001,Mar,6,4,0.270366419,357,3.093707017,4.893753999,72.08042373,9.7
40464,C,39.9353,-114.615,Jul,2,0,0.439858433,2405,27.52740969,3.545497258,15.2339444,0
40465,B,27.42,-81.49,Mar,2,12,0.135141958,37,19.21184082,4.240727855,55.26229118,0
40466,C,29.31,-82.51,Apr,0,12,0.142596345,30,17.05225377,2.873874341,69.89073614,0
40469,E,26.33333001,-80.66666,May,1,12,0.12883233,5,26.10399918,3.282584012,70.75560539,81.56666667
40470,B,33.14057,-89.045592,Jan,4,16,0.198681645,167,4.252007198,2.333609035,55.49347826,0
40471,B,32.61682,-95.15981,Dec,6,12,0.255571102,118,7.53625293,2.049228815,69.16384277,0
40472,B,45.897231,-93.133392,Apr,5,15,0.230379871,303,2.740994348,3.047257853,57.87608009,0
40474,B,39.6917,-110.8483,Jul,0,0,0.402439135,1825,24.64067699,3.25503092,23.80590472,13.33333333
40475,B,32.8012,-83.4456,Mar,5,12,0.148290425,135,12.50406168,2.977464878,65.54510454,53.16666667
40476,B,32.93189417,-94.6097975,Feb,2,12,0.250212098,103,10.58274249,3.418480613,65.31123371,0
40477,B,48.03,-94.91111,Mar,4,15,0.246492287,388,-0.613347074,2.86441062,70.26976037,0
40480,B,31.49792001,-94.80624997,May,1,12,0.253079747,61,23.07938272,3.560380607,71.45254824,0
40481,B,32.20144997,-97.94167,Jul,2,12,0.282016433,336,26.44050056,2.738379897,63.083504,0
40482,B,36.10253333,-80.7756,Mar,4,0,0.122414699,302,4.781209459,2.173281836,56.52204589,0
40487,C,35.2535,-88.04807,Feb,4,15,0.188206395,217,8.745396992,3.907800835,59.67481679,14.33333333
40488,B,39.905,-76.07972,Apr,5,0,0.079267349,194,10.33421479,3.469707174,51.98462657,0
40489,F,34.97890103,-95.49810026,Feb,3,16,0.257164175,220,9.491321956,4.24457104,49.10519203,0
40490,B,48.12186,-119.85998,Aug,1,15,0.490411565,592,24.76742937,3.306250847,41.25706133,2
40492,B,31.2931,-84.3957,Dec,3,12,0.157898759,50,13.95699167,3.834764863,59.14747429,0
40494,C,35.9014,-91.8828,Feb,3,15,0.222980506,228,3.177090709,2.630591933,54.63796208,13.46666667
40495,B,37.2,-77.2,Apr,6,0,0.090372522,40,14.45895667,2.089443999,67.05889998,52.53333333
40496,B,41.905,-122.7416667,Aug,0,15,0.52169263,1056,23.18841228,2.725111864,36.91004419,1
40498,B,32.17292001,-94.84374999,Feb,4,12,0.252934485,137,14.32575204,4.440672901,69.4652462,13.96666667
40499,C,43.6671,-104.0154,Mar,1,9,0.334066039,1368,0.169693321,3.562490022,54.43886434,0
40500,C,33.806249,-87.643354,Sep,4,16,0.185451434,205,24.35626922,1.476681702,75.04069287,48.23333333
40501,B,37.98443206,-80.09278162,Mar,6,0,0.115340152,636,1.173987201,5.913046647,59.45424582,38
40502,B,30.5175,-82.83917,Feb,0,12,0.144563977,44,8.719282333,1.29348222,66.72493971,8.733333333
40503,B,34.912243,-88.016224,Sep,0,16,0.188128385,139,27.67756072,1.682308414,70.21610276,62.2
40504,B,36.62611111,-120.505,Nov,0,0,0.501221802,101,15.36751112,0.859349365,65.87433756,0
40505,B,42.14971628,-75.92969533,Apr,5,9,0.077036015,407,10.07772194,3.271646307,61.49639114,110.6333333
40506,B,33.512486,-81.557137,Apr,2,16,0.130974802,133,16.86446657,2.5441599,67.09991998,0
40507,D,47.9897,-95.5214,May,3,15,0.252207323,362,9.528987909,5.105460308,66.49300662,0
40508,B,46.83796,-122.65864,Jul,6,15,0.519370881,149,17.21556988,2.785359459,59.29971422,3.766666667
40509,B,29.179564,-98.68422,Sep,1,12,0.291380677,224,29.24007818,2.69367408,54.77529755,0
40510,B,32.14635,-95.42952,Feb,1,12,0.258430895,121,11.44364584,4.780872166,70.14172015,68.66666667
40511,B,30.73332998,-86.69555999,Feb,2,12,0.179061558,68,10.23459977,2.593794653,71.93249524,39.23333333
40513,B,41.58274,-76.9142,Apr,0,15,0.085817321,328,9.266254962,3.031859139,53.53523588,18.4
40515,E,32.76116,-81.33263,Mar,6,12,0.129500151,40,10.31597012,2.483637338,66.73892319,0
40516,B,43.49777778,-88.72222222,Sep,0,9,0.190466272,289,20.3139881,1.771397707,68.59144621,6.2
40518,B,35.91861,-109.84506,Mar,1,15,0.394511123,1986,2.950187496,2.830306064,57.3385062,15.73333333
40519,C,33.21570999,-96.07037002,Jul,6,16,0.263683359,182,26.30941523,2.480694943,59.7510984,0
40521,B,35.2667,-79.1,Mar,1,15,0.108136205,110,5.338409299,3.530970234,61.86931127,24.03333333
40523,B,34.53278002,-82.47249999,Apr,0,16,0.138444004,261,14.2973636,3.169520674,67.66924564,76.73333333
40524,E,36.670375,-96.011317,Jan,6,0,0.260967571,294,0.989230769,0.922307692,25.64149306,0.166666667
40525,B,33.8492,-80.6831,Feb,6,16,0.12300368,47,15.14556444,4.005043737,61.07566856,0
40526,B,34.8114,-95.4639,Feb,4,16,0.25694907,227,8.061065276,3.876283677,62.46098842,51.33333333
40528,B,38.2,-120.8069444,Aug,4,0,0.503464338,242,26.82312399,3.477990939,42.60980793,0.2
40530,B,34.41346379,-84.04238343,Apr,1,16,0.152549691,401,14.39229484,3.095001244,60.05244182,37.93333333
40531,B,36.36009998,-81.47960001,Feb,1,0,0.12850404,935,6.500758268,1.954262907,60.71379443,0
40532,B,41.4903761,-72.275359,May,4,15,0.04580013,110,11.90534444,3.617260389,64.15285537,4.4
40533,B,31.06166667,-89.17166667,Jan,1,12,0.201340813,56,10.09782974,2.402189699,67.20013729,30.7
40534,B,42.321299,-74.33617,May,1,9,0.063183183,608,14.98174216,3.519164979,50.0733631,16.73333333
40538,B,33.26853657,-85.02338941,Mar,5,16,0.162120361,248,7.630489547,1.468627577,55.74891137,0
40539,C,36.77111111,-120.6830556,Dec,2,0,0.502962835,116,10.07686339,1.642153538,76.86721192,9.333333333
40540,C,43.69961,-106.64592,Jun,4,9,0.359586797,1439,10.76863407,6.009024798,50.96402451,0
40542,B,35.29527778,-82.78916667,Mar,6,15,0.140789037,959,8.758132344,1.163188455,63.65229789,0
40543,C,34.8919,-94.9701,Mar,2,16,0.252279812,218,14.52505151,2.488668413,67.77777562,0
40545,B,33.675039,-87.780421,Jan,0,16,0.186785201,111,5.410876824,1.518389691,48.9192617,16.13333333
40546,B,33.6,-81.7,Mar,2,16,0.132184377,141,9.222764376,3.199536164,61.291754,15.63333333
40548,B,35.5585,-87.96967,Apr,0,15,0.187306867,122,18.14534286,2.882053589,67.22519018,26.43333333
40551,C,29.4042,-81.9342,Jun,6,12,0.137394271,25,26.80462521,3.713337691,65.9693892,17.8
40552,C,34.2411,-80.8433,Oct,4,16,0.124163863,82,18.64818198,2.755236373,59.666921,0
40553,D,30.49514729,-93.32619116,Oct,5,12,0.240061196,26,24.10695187,2.293464052,63.9405823,0
40554,B,28.823207,-99.117134,Jun,2,12,0.295782203,175,28.51770043,3.630819037,66.70896959,11.03333333
40555,B,35.03235,-101.1376,Jun,0,15,0.31048797,930,20.62055547,5.352536887,64.60484188,32.46666667
40556,B,31.4933,-89.8936,Feb,2,12,0.207624946,129,9.557766271,1.893132137,70.28732062,253.7333333
40557,B,31.6189,-86.8125,Oct,3,12,0.179450411,87,25.77024747,2.565893633,60.25121528,10.33333333
40558,C,26.29277778,-98.71416667,Apr,4,12,0.294195982,43,22.76897232,5.263316269,62.4186855,0.1
40559,C,33.375,-79.39583333,May,0,16,0.111963295,8,22.80168661,4.593297704,71.97061412,0
40561,B,32.38958,-94.92291,Feb,4,12,0.25351829,120,6.054377494,5.08290614,64.32355565,0
